libhwy1t64:amd64	1.0.7-8.1build1
libhyphen0:amd64	2.8.8-7build3
libibus-1.0-5:amd64	1.5.29-2
libibverbs1:amd64	50.0-2ubuntu0.2
libical3t64:amd64	3.0.17-1.1build3
libice6:amd64	2:1.0.10-1build3
libicu74:amd64	74.2-1ubuntu3.1
libidn12:amd64	1.42-1ubuntu0.1
libidn2-0:amd64	2.3.7-2build1.1
libido3-0.1-0:amd64	13.10.0+22.10.20221007-0ubuntu3
libiec61883-0:amd64	1.2.0-6build1
libieee1284-3t64:amd64	0.2.11-14.1build1
libigdgmm12:amd64	22.3.17+ds1-1ubuntu1
libijs-0.35:amd64	0.35-15.1build1
libimath-3-1-29t64:amd64	3.1.9-3.1ubuntu2
libimobiledevice6:amd64	1.3.0-8.1build3
libindicator3-7	16.10.0+18.04.20180321.1-0ubuntu8
libinih1:amd64	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.7
libinput10:amd64	1.25.0-1ubuntu3.7
libintl-perl	1.33-1build3
libintl-xs-perl	1.33-1build3
libip4tc2:amd64	1.8.10-3ubuntu2
libip6tc2:amd64	1.8.10-3ubuntu2
libisl23:amd64	0.26-3build1.1
libisns0t64:amd64	0.101-0.3build3
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2
libjavascriptcoregtk-4.1-0:amd64	2.52.6-0ubuntu0.24.04.1
libjbig0:amd64	2.1-6.1ubuntu2
libjbig2dec0:amd64	0.20-1ubuntu0.24.04.1
libjcat1:amd64	0.2.3-1~ubuntu0.24.04.1
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjq1:amd64	1.7.1-3ubuntu0.24.04.2
libjson-c5:amd64	0.17-1build1
libjson-glib-1.0-0:amd64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64:amd64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3:amd64	1.20.1-6ubuntu2.8
libkeybinder-3.0-0:amd64	0.3.2-1.1build2
libkeyutils1:amd64	1.6.3-3build1
libklibc:amd64	2.0.13-4ubuntu0.2
libkmod2:amd64	31+20240202-2ubuntu7.2
libkrb5-3:amd64	1.20.1-6ubuntu2.8
libkrb5support0:amd64	1.20.1-6ubuntu2.8
libksba8:amd64	1.6.6-1build1
liblcms2-2:amd64	2.14-2ubuntu0.1
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
libldb2:amd64	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.7
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblightdm-gobject-1-0:amd64	1.30.0-0ubuntu14
libllvm18:amd64	1:18.1.3-1ubuntu1
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.3
liblmdb0:amd64	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblouis-data	3.29.0-1build1
liblouis20:amd64	3.29.0-1build1
liblouisutdml-bin	2.12.0-3.1build1
liblouisutdml-data	2.12.0-3.1build1
liblouisutdml9t64:amd64	2.12.0-3.1build1
liblqr-1-0:amd64	0.4.2-2.1build2
libltdl7:amd64	2.4.7-7build1
liblua5.2-0:amd64	5.2.4-3build2
liblvm2cmd2.03:amd64	2.03.16-3ubuntu3.2
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2:amd64	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmagickcore-6.q16-7-extra:amd64	8:6.9.12.98+dfsg1-5.2build2
libmagickcore-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2build2
libmagickwand-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2build2
libmanette-0.2-0:amd64	0.2.7-1build2
libmaxminddb0:amd64	1.9.1-1build1
libmbedcrypto7t64:amd64	2.28.8-1
libmbim-glib4:amd64	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd0:amd64	1.1.0-2build1.1
libmd4c0:amd64	0.4.8-1build1
libmessaging-menu0:amd64	23.10.0-1build3
libminizip1t64:amd64	1:1.3.dfsg-3.1ubuntu2.2
libmm-glib0:amd64	1.23.4-0ubuntu2
libmnl0:amd64	1.0.5-2build1
libmodule-find-perl	0.16-2
libmodule-scandeps-perl	1.35-1ubuntu0.24.04.1
libmount1:amd64	2.39.3-9ubuntu6.6
libmp3lame0:amd64	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1.1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmsgraph-0-1:amd64	0.2.1-0ubuntu3
libmspack0t64:amd64	0.11-1.1build1
libmtdev1t64:amd64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1ubuntu1
libmtp-runtime	1.1.21-3.1ubuntu1
libmtp9t64:amd64	1.1.21-3.1ubuntu1
libncurses6:amd64	6.4+20240113-1ubuntu2.2
libncursesw6:amd64	6.4+20240113-1ubuntu2.2
libndp0:amd64	1.8-1fakesync1ubuntu0.24.04.1
libnetfilter-conntrack3:amd64	1.0.9-6build1
libnetpbm11t64:amd64	2:11.05.02-1.1build1
libnetplan1:amd64	1.1.2-8ubuntu1~24.04.2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnewt0.52:amd64	0.52.24-2ubuntu2
libnfnetlink0:amd64	1.0.2-2build1
libnfs14:amd64	5.0.2-1ubuntu0.24.04.1
libnftables1:amd64	1.0.9-1ubuntu0.1
libnftnl11:amd64	1.2.6-2build1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnghttp3-3:amd64	0.8.0-2
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-genl-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnm0:amd64	1.46.0-1ubuntu2.8
libnma-common	1.10.6-3build2
libnma0:amd64	1.10.6-3build2
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnotify-bin	0.8.3-1build2
libnotify4:amd64	0.8.3-1build2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss-mdns:amd64	0.15.1-4build1
libnss-systemd:amd64	255.4-1ubuntu8.17
libnss3:amd64	2:3.98-1ubuntu0.2
libntfs-3g89t64:amd64	1:2022.10.3-1.2ubuntu3.2
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
libnvme1t64	1.8-3ubuntu1
libogg0:amd64	1.3.5-3build1
libonig5:amd64	6.9.9-1build1
libopencore-amrnb0:amd64	0.1.6-1build1
libopenexr-3-1-30:amd64	3.1.5-5.1build3
libopengl0:amd64	1.7.0-1build1
libopeniscsiusr	2.1.9-3ubuntu5.4
libopenjfx-java	11.0.11+1-3.1ubuntu5
libopenjfx-jni	11.0.11+1-3.1ubuntu5
libopenjp2-7:amd64	2.5.0-2ubuntu0.5
libopenmpt0t64:amd64	0.7.3-1.1build3
libopus0:amd64	1.4-1build1
liborc-0.4-0t64:amd64	1:0.4.38-1ubuntu0.1
libp11-kit0:amd64	0.25.3-4ubuntu2.2
libpackagekit-glib2-18:amd64	1.2.8-2ubuntu1.5
libpam-cap:amd64	1:2.66-5ubuntu2.4
libpam-gnome-keyring:amd64	46.1-2ubuntu0.2
libpam-modules:amd64	1.5.3-5ubuntu5.7
libpam-modules-bin	1.5.3-5ubuntu5.7
libpam-runtime	1.5.3-5ubuntu5.7
libpam-systemd:amd64	255.4-1ubuntu8.17
libpam0g:amd64	1.5.3-5ubuntu5.7
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpangomm-1.4-1v5:amd64	2.46.4-1build3
libpangoxft-1.0-0:amd64	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1:amd64	1.1.29build1
libparted2t64:amd64	3.6-4build1
libpcap0.8t64:amd64	1.10.4-4.1ubuntu3
libpci3:amd64	1:3.10.0-2build1
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpcre2-16-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcsclite1:amd64	2.0.3-1build1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.4
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build1
libphonenumber8:amd64	8.12.57+ds-4.2build3
libpipeline1:amd64	1.5.7-2
libpipewire-0.3-0t64:amd64	1.0.5-1ubuntu3.3
libpipewire-0.3-common	1.0.5-1ubuntu3.3
libpixman-1-0:amd64	0.42.2-1build1
libplist-2.0-4:amd64	2.3.0-1~exp2build2
libplymouth5:amd64	24.004.60-1ubuntu7.2
libpng16-16t64:amd64	1.6.43-5ubuntu0.6
libpolkit-agent-1-0:amd64	124-2ubuntu1.24.04.4
libpolkit-gobject-1-0:amd64	124-2ubuntu1.24.04.4
libpoppler-cpp0t64:amd64	24.02.0-1ubuntu9.9
libpoppler-glib8t64:amd64	24.02.0-1ubuntu9.9
libpoppler134:amd64	24.02.0-1ubuntu9.9
libpopt0:amd64	1.19+dfsg-1build1
libppd2:amd64	2:2.0.0-0ubuntu4.1
libppd2-common	2:2.0.0-0ubuntu4.1
libpq5:amd64	16.15-0ubuntu0.24.04.1
libproc-processtable-perl:amd64	0.636-1build3
libproc2-0:amd64	2:4.0.4-4ubuntu3.3
libprotobuf-c1:amd64	1.4.1-1ubuntu4
libprotobuf32t64:amd64	3.21.12-8.2ubuntu0.3
libproxy1v5:amd64	0.5.4-4build1
libpsl5t64:amd64	0.21.2-1.1build1
libpulse-mainloop-glib0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality1:amd64	1.4.5-3build1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.17
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.17
libpython3.12t64:amd64	3.12.3-1ubuntu0.17
libqmi-glib5:amd64	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqpdf29t64:amd64	11.9.0-1.1ubuntu0.1
libqrtr-glib0:amd64	1.2.2-1ubuntu4
libqt6core5compat6:amd64	6.4.2-4build3
libqt6core6t64:amd64	6.4.2+dfsg-21.1build5
libqt6dbus6t64:amd64	6.4.2+dfsg-21.1build5
libqt6gui6t64:amd64	6.4.2+dfsg-21.1build5
libqt6multimedia6:amd64	6.4.2-11build3
libqt6network6t64:amd64	6.4.2+dfsg-21.1build5
libqt6opengl6t64:amd64	6.4.2+dfsg-21.1build5
libqt6printsupport6t64:amd64	6.4.2+dfsg-21.1build5
libqt6qml6:amd64	6.4.2+dfsg-4build3
libqt6qmlmodels6:amd64	6.4.2+dfsg-4build3
libqt6quick6:amd64	6.4.2+dfsg-4build3
libqt6svg6:amd64	6.4.2-4ubuntu3
libqt6waylandclient6:amd64	6.4.2-5build3
libqt6waylandcompositor6:amd64	6.4.2-5build3
libqt6waylandeglclienthwintegration6:amd64	6.4.2-5build3
libqt6waylandeglcompositorhwintegration6:amd64	6.4.2-5build3
libqt6widgets6t64:amd64	6.4.2+dfsg-21.1build5
libqt6wlshellintegration6:amd64	6.4.2-5build3
librabbitmq4:amd64	0.11.0-1ubuntu0.2
librav1e0:amd64	0.7.1-2
libraw1394-11:amd64	2.1.2-2build3
libraw23t64:amd64	0.21.2-2.1ubuntu0.24.04.2
libreadline8t64:amd64	8.2-4build1
libreiserfscore0t64	1:3.6.27-7.1build1
librist4:amd64	0.2.10+dfsg-2
librsvg2-2:amd64	2.58.0+dfsg-1build1
librsvg2-common:amd64	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsamplerate0:amd64	0.2.2-4build1
libsane-common	1.2.1-7build4
libsane1:amd64	1.2.1-7build4
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsbc1:amd64	2.0-1build1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libsecret-1-0:amd64	0.21.4-1build3
libsecret-common	0.21.4-1build3
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol2:amd64	3.5-2build1
libsgutils2-1.46-2:amd64	1.46-3ubuntu4
libsharpyuv0:amd64	1.3.2-0.4build3
libshine3:amd64	3.1.1-2build1
libshout3:amd64	2.4.6-1build2
libsigc++-2.0-0v5:amd64	2.12.1-2
libsigsegv2:amd64	2.14-1ubuntu2
libslang2:amd64	2.3.3-3build2
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.6
libsmbclient0:amd64	2:4.19.5+dfsg-4ubuntu9.7
libsmi2t64:amd64	0.4.8+dfsg2-16.1build1
libsnapd-glib-2-1:amd64	1.64-0ubuntu5
libsnappy1v5:amd64	1.1.10-1build1
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsnmp-base	5.9.4+dfsg-1.1ubuntu3.2
libsnmp40t64:amd64	5.9.4+dfsg-1.1ubuntu3.2
libsodium23:amd64	1.0.18-1ubuntu0.24.04.1
libsort-naturally-perl	1.03-4
libsoup-2.4-1:amd64	2.74.3-6ubuntu1.7
libsoup-3.0-0:amd64	3.4.4-5ubuntu0.7
libsoup-3.0-common	3.4.4-5ubuntu0.7
libsoup2.4-common	2.74.3-6ubuntu1.7
libsoxr0:amd64	0.1.3-4build3
libspa-0.2-modules:amd64	1.0.5-1ubuntu3.3
libspandsp2t64:amd64	0.0.6+dfsg-2.1build1
libspeex1:amd64	1.2.1-2ubuntu2.24.04.1
libspeexdsp1:amd64	1.2.1-1ubuntu3
libsqlite3-0:amd64	3.45.1-1ubuntu2.7
libsrt1.5-gnutls:amd64	1.5.3-1build2
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.5
libssh-gcrypt-4:amd64	0.10.6-2ubuntu0.5
libssl3t64:amd64	3.0.13-0ubuntu3.15
libstartup-notification0:amd64	0.12-6build3
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libstemmer0d:amd64	2.2.0-4build1
libsvtav1enc1d1:amd64	1.7.0+dfsg-2build1
libswresample4:amd64	7:6.1.1-3ubuntu5
libswscale7:amd64	7:6.1.1-3ubuntu5
libsystemd-shared:amd64	255.4-1ubuntu8.17
libsystemd0:amd64	255.4-1ubuntu8.17
libtag1v5:amd64	1.13.1-1build1
libtag1v5-vanilla:amd64	1.13.1-1build1
libtalloc2:amd64	2.4.2-1build2
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libtcl8.6:amd64	8.6.14+dfsg-1build1
libtdb1:amd64	1.4.10-1build1
libteamdctl0:amd64	1.31-1build3
libterm-readkey-perl	2.38-2build4
libtevent0t64:amd64	0.16.1-2build1
libtext-charwidth-perl:amd64	0.04-11build3
libtext-iconv-perl:amd64	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libtheora0:amd64	1.1.1+dfsg.1-16.1build3
libthunarx-3-0:amd64	4.18.8-1build3
libtiff6:amd64	4.5.1+git230720-4ubuntu2.5
libtimezonemap-data	0.4.6-6ubuntu1
libtimezonemap1:amd64	0.4.6-6ubuntu1
libtinfo6:amd64	6.4+20240113-1ubuntu2.2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64:amd64	1.3.4+ds-1.1build1
libtraceevent1:amd64	1:1.8.2-1ubuntu2.1
libtraceevent1-plugin:amd64	1:1.8.2-1ubuntu2.1
libtracefs1:amd64	1.8.0-1ubuntu1
libts0t64:amd64	1.22-1.1build1
libtss2-esys-3.0.2-0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-mu-4.0.1-0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-rc0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-sys1t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-cmd0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-device0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-mssim0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-swtpm0t64:amd64	4.0.1-7.1ubuntu5.1
libtumbler-1-0t64:amd64	4.18.1-1.1build4
libtwolame0:amd64	0.4.0-2build3
libuchardet0:amd64	0.0.8-1build1
libudev1:amd64	255.4-1ubuntu8.17
libudfread0:amd64	1.1.2-1build1
libudisks2-0:amd64	2.10.1-6ubuntu1.5
libunistring5:amd64	1.1-2build1.1
libunity-control-center1	15.04.0+23.04.20230220-0ubuntu8
libunity-gtk2-parser0:amd64	0.0.0+18.04.20171202-0ubuntu7
libunity-gtk3-parser0:amd64	0.0.0+18.04.20171202-0ubuntu7
libunity-settings-daemon1:amd64	15.04.1+21.10.20220802-0ubuntu5
libunwind8:amd64	1.6.2-3build1.1
libupower-glib3:amd64	1.90.3-1
liburcu8t64:amd64	0.14.0-3.1build1
liburi-perl	5.27-1
libusb-1.0-0:amd64	2:1.0.27-1
libusbmuxd6:amd64	2.0.2-4build3
libutempter0:amd64	1.2.1-3build1
libuuid1:amd64	2.39.3-9ubuntu6.6
libuv1t64:amd64	1.48.0-1.1build1
libv4l-0t64:amd64	1.26.1-4build3
libv4lconvert0t64:amd64	1.26.1-4build3
libva-drm2:amd64	2.20.0-2ubuntu0.2
libva-x11-2:amd64	2.20.0-2ubuntu0.2
libva2:amd64	2.20.0-2ubuntu0.2
libvdpau1:amd64	1.5-2build1
libvhdi1:amd64	20210425-1build5
libvisual-0.4-0:amd64	0.4.2-2build1
libvmdk1:amd64	20200926-2build5
libvolume-key1:amd64	0.3.12-7build2
libvorbis0a:amd64	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvorbisfile3:amd64	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9:amd64	1.14.0-1ubuntu2.3
libvte-2.91-0:amd64	0.76.0-1ubuntu0.1
libvte-2.91-common	0.76.0-1ubuntu0.1
libvulkan1:amd64	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9:amd64	2.10.0-2
libwavpack1:amd64	5.6.0-1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwayland-server0:amd64	1.22.0-2.1build1
libwbclient0:amd64	2:4.19.5+dfsg-4ubuntu9.7
libwebkit2gtk-4.1-0:amd64	2.52.6-0ubuntu0.24.04.1
libwebp7:amd64	1.3.2-0.4build3
libwebpdemux2:amd64	1.3.2-0.4build3
libwebpmux3:amd64	1.3.2-0.4build3
libwebrtc-audio-processing1:amd64	0.3.1-0ubuntu6
libwhoopsie-preferences0	23build3
libwhoopsie0:amd64	0.2.77ubuntu0.1
libwireshark-data	4.2.2-1.1build3
libwireshark17t64:amd64	4.2.2-1.1build3
libwiretap14t64:amd64	4.2.2-1.1build3
libwmflite-0.2-7:amd64	0.2.13-1.1build3
libwnck-3-0:amd64	43.0-3build4
libwnck-3-common	43.0-3build4
libwrap0:amd64	7.6.q-33
libwsutil15t64:amd64	4.2.2-1.1build3
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-xcb1:amd64	2:1.8.7-1build1
libx264-164:amd64	2:0.164.3108+git31e19f9-1
libx265-199:amd64	3.5-2build1
libxapian30:amd64	1.4.22-1build1
libxatracker2:amd64	25.1.7-1ubuntu2~24.04.2
libxau6:amd64	1:1.0.9-1build6
libxaw7:amd64	2:1.0.14-1build2
libxcb-damage0:amd64	1.15-1ubuntu2
libxcb-dri2-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-icccm4:amd64	0.4.1-1.1build3
libxcb-image0:amd64	0.4.0-2build1
libxcb-keysyms1:amd64	0.4.0-1build4
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-render-util0:amd64	0.3.9-1build4
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-util1:amd64	0.4.0-1build3
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb-xkb1:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcomposite1:amd64	1:0.4.5-1build3
libxcursor1:amd64	1:1.2.1-1build1
libxcvt0:amd64	0.1.2-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxdo3:amd64	1:3.20160805.1-5build1
libxext6:amd64	2:1.3.4-1build2
libxfce4panel-2.0-4	4.18.4-1ubuntu0.1
libxfce4ui-2-0:amd64	4.18.4-1build4
libxfce4ui-common	4.18.4-1build4
libxfce4ui-utils	4.18.4-1build4
libxfce4util-bin	4.18.1-2build3
libxfce4util-common	4.18.1-2build3
libxfce4util7:amd64	4.18.1-2build3
libxfconf-0-3:amd64	4.18.1-1build3
libxfixes3:amd64	1:6.0.0-2build1
libxfont2:amd64	1:2.0.6-1+deb13u1build0.24.04.2
libxft2:amd64	2.3.6-1build1
libxi6:amd64	2:1.8.1-1build1
libxinerama1:amd64	2:1.1.4-3build1
libxkbcommon-x11-0:amd64	1.6.0-1build1
libxkbcommon0:amd64	1.6.0-1build1
libxkbfile1:amd64	1:1.1.0-1build4
libxkbregistry0:amd64	1.6.0-1build1
libxklavier16:amd64	5.4-5build2
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2:amd64	0.3.24-1~ubuntu0.24.04.1
libxmlsec1t64:amd64	1.2.39-5build2
libxmlsec1t64-openssl:amd64	1.2.39-5build2
libxmu6:amd64	2:1.1.3-3build2
libxmuu1:amd64	2:1.1.3-3build2
libxpm4:amd64	1:3.5.17-1ubuntu0.24.04.1
libxpresent1:amd64	1.0.0-2build2
libxrandr2:amd64	2:1.5.2-2build1
libxrender1:amd64	1:0.9.10-1.1build1
libxres1:amd64	2:1.2.1-1build1
libxshmfence1:amd64	1.3-1build5
libxslt1.1:amd64	1.1.39-0exp1ubuntu0.24.04.3
libxss1:amd64	1:1.2.3-1build3
libxt6t64:amd64	1:1.2.1-1.2build1
libxtables12:amd64	1.8.10-3ubuntu2
libxtst6:amd64	2:1.2.3-1.1build1
libxv1:amd64	2:1.0.11-1.1build1
libxvidcore4:amd64	2:1.3.7-1build1
libxvmc1:amd64	2:1.0.12-2build3
libxxf86dga1:amd64	2:1.1.5-1build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libyelp0:amd64	42.2-1ubuntu0.24.04.2
libzeitgeist-2.0-0:amd64	1.0.4-5ubuntu5
libzmq5:amd64	4.3.5-1build2
libzstd1:amd64	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:amd64	0.2.42-2
light-locker	1.8.0-3ubuntu3
light-locker-settings	1.5.0-0ubuntu4
lightdm	1.30.0-0ubuntu14
linux-azure	6.17.0-1022.22
linux-azure-6.17-cloud-tools-6.17.0-1022	6.17.0-1022.22
linux-azure-6.17-headers-6.17.0-1022	6.17.0-1022.22
linux-azure-6.17-tools-6.17.0-1022	6.17.0-1022.22
linux-base	4.5ubuntu9+24.04.2
linux-base-sgx	4.5ubuntu9+24.04.2
linux-cloud-tools-6.17.0-1022-azure	6.17.0-1022.22
linux-cloud-tools-azure	6.17.0-1022.22
linux-cloud-tools-common	6.8.0-139.139
linux-firmware	20240318.git3b128b60.0ubuntu3.1
linux-firmware-amd-graphics	20240318.git3b128b60-0ubuntu3.2
linux-firmware-amd-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-broadcom-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-intel-graphics	20240318.git3b128b60-0ubuntu3.1
linux-firmware-intel-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-intel-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-marvell-prestera	20240318.git3b128b60-0ubuntu3.1
linux-firmware-marvell-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-mediatek	20240318.git3b128b60-0ubuntu3.1
linux-firmware-mellanox-spectrum	20240318.git3b128b60-0ubuntu3.1
linux-firmware-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-netronome	20240318.git3b128b60-0ubuntu3.1
linux-firmware-nvidia-graphics	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qlogic	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qualcomm-graphics	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qualcomm-misc	20240318.git3b128b60-0ubuntu3.1
linux-firmware-qualcomm-wireless	20240318.git3b128b60-0ubuntu3.1
linux-firmware-realtek	20240318.git3b128b60-0ubuntu3.1
linux-generic	6.8.0-139.139
linux-headers-6.17.0-1022-azure	6.17.0-1022.22
linux-headers-6.8.0-139	6.8.0-139.139
linux-headers-6.8.0-139-generic	6.8.0-139.139
linux-headers-azure	6.17.0-1022.22
linux-headers-generic	6.8.0-139.139
linux-image-6.17.0-1022-azure	6.17.0-1022.22
linux-image-6.8.0-139-generic	6.8.0-139.139
linux-image-azure	6.17.0-1022.22
linux-image-generic	6.8.0-139.139
linux-modules-6.17.0-1022-azure	6.17.0-1022.22
linux-modules-6.8.0-139-generic	6.8.0-139.139
linux-modules-extra-6.8.0-139-generic	6.8.0-139.139
linux-tools-6.17.0-1022-azure	6.17.0-1022.22
linux-tools-6.8.0-139	6.8.0-139.139
linux-tools-6.8.0-139-generic	6.8.0-139.139
linux-tools-azure	6.17.0-1022.22
linux-tools-common	6.8.0-139.139
locales	2.39-0ubuntu8.9
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
lsof	4.95.0-1build3
lsscsi	0.32-1build1
lvm2	2.03.16-3ubuntu3.2
lxd-agent-loader	0.7ubuntu0.1
lxd-installer	4ubuntu0.1
man-db	2.12.0-4build2
manpages	6.7-2
mawk	1.3.4.20240123-1build1
mdadm	4.3-1ubuntu2.1
media-types	10.1.0
mesa-libgallium:amd64	25.2.8-0ubuntu0.24.04.2
mesa-va-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vdpau-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mobile-broadband-provider-info	20230416-1
modemmanager	1.23.4-0ubuntu2
mokutil	0.6.0-2build3
motd-news-config	13ubuntu10.5
mount	2.39.3-9ubuntu6.6
mousetweaks	3.32.0-4build2
mtr-tiny	0.95-1.1ubuntu0.1
multipath-tools	0.9.4-5ubuntu8.2
nano	7.2-2ubuntu0.2
